EN,JP
First Contact,ファーストコンタクト
The Stopwatch,ストップウォッチ
Under Pressure,感圧
Weight of the Clone,前世の重さ
Seeing Double,複視
Mini Tortoise Stone,かんばこ
One by One,一つずつ
Old Friends and Explosions,旧友と爆発
Defensive Line,防衛線
Self Trapping,自分に足まとい
Too Few,少ない
Taking Turns,順番に
Everything in Its Place,それぞれの位置
Box Protector,守り箱
Defensive Boxer,ボクシング
In the Line of Fire,射線に挟まって
Pass the Rock,パス
Catch!,キャッチ！
Seeing What Sticks,予知
Goose Chase,無駄足
Our First Game of Tag,初の鬼ごっこ
Perilous Chase,二兎を追う者
Mirrored Image,鏡のように
Distractions,敵の集中
Longing Gazes Across the Abyss,アビスの彼方
Fickle Admirers,よそ見
Surrounded,囲まれている
Robot in the Middle,エスコート
Box Stranding,ボックス・ストランディング
Shove-of-War,箱引き
Precise Manipulation,的確な操り
One Shot One Kill,ワンショット　ワンキル
Public Execution,公共処刑
Friendly Fire,同士打ち
Necessary Sacrifices,必要な犠牲
Payback Time,リベン時
Ring Around the Rosie,かごめかごめ
Quick Draw,早撃ち
Share,分け合え
Clearing a Path,道を開け
Runner and Gunner,ランナーとガンナー
Kill Steal,キルスティール
Protecting an Unlikely Ally,今日の敵は明日の友
Save Him,彼を助けて
Crossfire,十字砲火
Cull the Weak,弱肉強食
A Deadly Game of Leapfrog,致命的な馬飛び
Eye of the Storm,台風の目
Get to Haulin',引越し会社
Alcatraz,アルカトラズ
Daedalus and Icarus,ダイダロスとイーカロス
A Little to the Left,左に少し
Reach the Island,島に着け
Three Paths Diverged,道が三つに分かれていた
Formally Known as Tweeter,Tweeterの新名
Open the Barrier,バリアを開けよう
Pit Vaulting,穴の上に高跳べ
Backtracking,後戻り
Shoot for the Moon,月とすっぽん
